개념ID,개념명,영역,학년단계,선수개념IDs,한줄설명,개념설명,예시,그림
I05,유리수의 사칙연산,유리수,중1,F04;F05;I03,분수와 음수가 섞인 사칙연산,분수와 음수가 함께 나오는 식은 부호 처리와 분수 처리를 모두 해야 해요. 보통 부호 규칙으로 결과 부호를 먼저 정하고 절댓값 부분에서 통분과 약분을 적용해 계산합니다. 예를 들어 (-1/2) + 1/3 은 통분해서 -3/6 + 2/6 = -1/6 이 돼요. 음수 부호를 깜빡 떨어뜨리거나 통분을 빼먹는 두 가지 실수가 가장 흔하므로 첫 줄에 부호와 분모를 모두 적어 두면 좋습니다.,(-1/2) + 1/3 = -3/6 + 2/6 = -1/6,
M01,문자식 표기 규칙,문자와식,중1,N04;F05,곱셈 기호 생략·지수 표기 규칙,문자식에서는 약속에 따라 곱하기 기호 × 를 생략하고 수는 문자 앞에 둡니다. x×3×y 는 3xy 로 적고 같은 문자가 여러 번 곱해지면 a×a×b = a²b 처럼 거듭제곱으로 줄여요. 나누기는 분수꼴로 적어 5÷x = 5/x 로 표현합니다. 1·x 는 그냥 x 로 (-1)·x 는 -x 로 적는 등의 약속도 있으니 첫 단원에서 표기 규칙을 깔끔히 익혀 두면 이후 식 전개가 훨씬 편해집니다.,x×3×y → 3xy   /   a×a×b → a²b   /   5÷x → 5/x,
M02,식의 값 (대입),문자와식,중1,M01;I05,문자에 수를 넣어 계산,문자에 어떤 수를 넣어 식의 값을 구하는 일을 대입이라고 합니다. 식 3x+1 에 x=2 를 넣으면 3·2+1 = 7 이 됩니다. 음수를 대입할 때는 반드시 괄호를 사용해야 해요. x=-3 일 때 x² 은 (-3)² = 9 이지 -9 가 아닙니다. 괄호 없이 -3² 로 적으면 -9 가 되어 부호가 달라지므로 음수 대입 시 괄호 습관이 매우 중요합니다.,x=2 일 때 3x+1 = 3·2+1 = 7   /   x=-3 일 때 x² = (-3)² = 9,
M03,동류항 정리,문자와식,중1,M01;I02,같은 문자끼리 계수 합치기,문자가 같고 거듭제곱(차수) 도 같은 항을 동류항이라 하며 동류항끼리만 계수를 더하거나 뺄 수 있어요. 3x 와 2x 는 동류항이지만 3x 와 2x² 는 차수가 달라 동류항이 아니므로 합칠 수 없습니다. 분배법칙을 거꾸로 써서 3x+2x = (3+2)x = 5x 처럼 계수만 모아 줍니다. 다른 종류 항을 억지로 더하거나 차수를 무시하고 계수만 더하는 실수가 자주 일어나니 항상 문자와 차수가 모두 같은지 확인하세요.,3x+2x-5x = (3+2-5)x = 0   /   4a-5b+2a+3b = 6a-2b,
M04,단항식의 곱셈·나눗셈 (지수법칙),문자와식,중2,M03;R01,지수법칙으로 단항식 연산,같은 밑끼리 곱하면 지수를 더하고 나누면 지수를 뺍니다. 즉 a^m × a^n = a^(m+n) a^m ÷ a^n = a^(m-n) 입니다. 거듭제곱의 거듭제곱은 지수끼리 곱해서 (a^m)^n = a^(mn) 이고 곱의 거듭제곱은 (ab)^n = a^n·b^n 이에요. x²×x³ 을 x^(2·3)=x^6 으로 잘못 적는 실수가 매우 흔하니 곱셈은 지수의 합 거듭제곱은 지수의 곱이라고 분명히 구분해서 외워 두세요.,x²×x³=x⁵   /   6x³÷2x=3x²   /   (2x²)³=8x⁶,
M05,분배법칙,문자와식,중1-2,M03,a(b+c)=ab+ac,괄호 앞의 수를 괄호 안 모든 항에 빠짐없이 곱해서 풀어 주는 규칙이 분배법칙입니다. 예를 들어 2(x+3) 은 2·x + 2·3 = 2x+6 처럼 두 항 모두에 2 를 곱해야 해요. 음수 분배에서 부호 처리에 가장 많이 실수하는데 -3(x-2) = -3x+6 처럼 -3 을 두 항 모두에 곱해야 하며 두 번째 항의 부호가 +6 으로 바뀐다는 점을 잊지 마세요. 첫 번째 항에만 곱하고 끝내는 실수도 흔합니다.,2(x+3)=2x+6   /   -3(x-2)=-3x+6   /   x(2x+5)=2x²+5x,
M06,다항식의 곱셈,문자와식,중2-3,M05;M04,분배법칙 반복으로 전개,두 다항식의 곱은 한쪽의 모든 항을 다른 쪽의 모든 항에 분배해서 곱한 뒤 동류항을 정리해 마무리합니다. (x+2)(x+3) = x·x + x·3 + 2·x + 2·3 = x²+5x+6 처럼 네 번의 곱을 빠짐없이 해야 해요. 항의 개수가 많아질수록 빼먹는 곱이 생기기 쉬우니 표를 그리거나 화살표를 사용해 모든 짝을 점검하세요. 마지막에 동류항 정리를 잊지 않는 것도 중요합니다.,(x+2)(x+3) = x²+3x+2x+6 = x²+5x+6,
M07,다항식의 나눗셈,문자와식,고1,M06,차수 큰 다항식을 작은 다항식으로 나누어 몫과 나머지,자연수의 나눗셈을 흉내 내어 차수가 큰 다항식을 작은 다항식으로 나누어 몫과 나머지를 구합니다. 결과는 항상 A = B·Q + R 의 꼴이며 나머지 R 의 차수는 나누는 식 B 의 차수보다 작아야 합니다. (x²+5x+6) ÷ (x+2) 는 몫 x+3 나머지 0 이 나오는 식이에요. 차수를 맞춰 가며 위에서 아래로 정리하는 세로식 형태를 익히면 실수가 줄어들고 인수정리·조립제법과도 자연스럽게 연결됩니다.,(x²+5x+6) ÷ (x+2) = 몫 x+3 나머지 0,
R01,거듭제곱과 지수법칙,거듭제곱,중2,N04,a^m × a^n = a^(m+n) 등,a^n 은 a 를 n 번 곱한 값을 줄여 적은 표현이며 위 어깨의 n 을 지수 아래의 a 를 밑이라고 부릅니다. 같은 밑끼리 곱하면 지수를 더하고 나누면 빼며 거듭제곱의 거듭제곱은 지수끼리 곱합니다. 0 이 아닌 수의 0 제곱은 1 이라는 약속이 있고 a⁻¹ = 1/a 처럼 음수 지수는 역수로 풀이됩니다. 밑이 다른 거듭제곱의 지수를 함부로 더하는 실수에 주의하세요.,2³×2² = 2⁵ = 32   /   (3²)³ = 3⁶ = 729   /   5⁰ = 1,
R02,제곱수와 제곱근의 의미,제곱근,중3,R01,제곱하여 a가 되는 수,어떤 수 a 를 제곱해서 만들어지는 a² 가 제곱수이고 거꾸로 제곱하여 a 가 되는 수를 a 의 제곱근이라 합니다. 양수 a 에는 두 개의 제곱근이 있는데 그 중 양의 제곱근만을 √a 로 나타내며 √a 는 0 또는 양수예요. √16 = 4 √81 = 9 처럼 √ 의 결과는 항상 0 이상이라는 점을 기억하세요. 한편 x²=49 의 해는 x=7 또는 x=-7 두 개인데 √49 자체는 7 한 값이라는 차이를 헷갈리지 마세요.,√16 = 4 (4²=16)   /   √81 = 9   /   양수 x²=49 의 양의 해는 x=7,
R03,근호 안의 수의 곱셈·나눗셈,제곱근,중3,R02,√a×√b=√(ab),근호의 곱은 √a × √b = √(ab) 나눗셈은 √a / √b = √(a/b) 로 한 번에 묶을 수 있어요. √12 처럼 근호 안에 제곱수가 숨어 있으면 √(4·3) = √4·√3 = 2√3 으로 분해해 근호 밖으로 빼냅니다. 답을 적을 때는 근호 안의 수에 더 이상 제곱수가 남지 않도록 정리하는 것이 약속이에요. √4·√3 을 √12 그대로 두는 학생이 많은데 항상 가장 간단한 형태로 줄여야 합니다.,√2×√8=√16=4   /   √12=√(4·3)=2√3   /   √18÷√2=√9=3,
R04,근호 안의 수의 덧셈·뺄셈,제곱근,중3,R03;M03,동류 근호끼리만 합·차,근호 안의 수가 같은(또는 정리하면 같아지는) 항끼리만 동류 근호로 더하거나 뺄 수 있습니다. √2 + √8 처럼 다르게 보여도 √8 = 2√2 로 정리하면 같은 √2 항이라 √2 + 2√2 = 3√2 가 되는 식이에요. 근호 안의 수가 끝까지 다르면 더할 수 없고 √2 + √3 같은 식은 그대로 두는 것이 답입니다. 다른 근호인데 그냥 더해버리는 실수에 주의하고 항상 먼저 √(a²·b) = a√b 로 정리부터 해 보세요.,√2+√8 = √2+2√2 = 3√2   /   3√5-√20 = 3√5-2√5 = √5,
R05,분모의 유리화,제곱근,중3,R03;F05,분모에 근호가 없도록 변형,분모에 근호가 있으면 분자와 분모에 같은 수를 곱해 분모에서 근호를 없애는 작업이 분모의 유리화입니다. 분모가 √a 한 항이면 √a 를 위아래에 곱해 1/√2 → √2/2 가 됩니다. 분모가 (√a − √b) 같은 합·차 꼴이면 부호만 반대인 켤레식 (√a + √b) 를 위아래에 곱해 a-b 꼴로 만들어 근호를 없애요. 예를 들어 1/(√3 − 1) 의 위아래에 √3+1 을 곱하면 (√3+1)/2 가 됩니다. 분모만 곱하고 분자에는 곱하지 않는 실수에 주의하세요.,1/√2 → √2/2   /   1/(√3-1) → (√3+1)/2,
P01,곱셈공식 (a+b)²,곱셈공식,중3,M06,(a+b)²=a²+2ab+b²,(a+b)² 은 (a+b)(a+b) 를 풀어 a²+2ab+b² 가 되고 (a-b)² 은 a²-2ab+b² 입니다. 핵심은 가운데 항이 두 수의 곱의 2 배라는 점이에요. (x+3)² 을 x²+9 로만 적고 가운데 항 6x 를 빠뜨리는 실수가 가장 흔하니 항상 첫 항² + 2·곱 + 끝 항² 의 세 부분을 모두 적는 습관을 들이세요. 부호가 음수일 때는 가운데 항의 부호도 음수가 됩니다.,(x+3)² = x²+6x+9   /   (x-4)² = x²-8x+16,
P02,곱셈공식 (a+b)(a-b),곱셈공식,중3,M06,합과 차의 곱 = 제곱의 차,두 수의 합과 차를 곱하면 가운데 항이 +ab − ab = 0 으로 사라져 제곱의 차 a² − b² 만 남습니다. 그래서 (x+5)(x-5) = x²-25 (3x+2)(3x-2) = 9x²-4 처럼 한 번에 정리할 수 있어요. 두 항의 부호가 정확히 +와 -로 짝을 이루어야 이 공식을 쓸 수 있다는 점이 핵심입니다. 부호가 같은 두 식 곱에 이 공식을 잘못 적용하지 않도록 부호를 먼저 확인하세요.,(x+5)(x-5) = x²-25   /   (3x+2)(3x-2) = 9x²-4,
P03,곱셈공식 (x+a)(x+b),곱셈공식,중3,M06,x²+(a+b)x+ab,x 가 같은 두 일차식의 곱은 x² + (두 상수의 합)x + (두 상수의 곱) 의 형태가 됩니다. 즉 (x+a)(x+b) = x² + (a+b)x + ab 라는 패턴이에요. (x+2)(x+5) 의 가운데 항 계수는 2+5=7 끝 항은 2·5=10 이므로 x²+7x+10 이 됩니다. 부호가 음수일 때 합과 곱을 모두 부호를 살려 계산해야 하는데 (x-3)(x+4) = x²+x-12 처럼 합 -3+4=1 곱 -3·4=-12 가 되는 식입니다.,(x+2)(x+5) = x²+7x+10   /   (x-3)(x+4) = x²+x-12,
P04,공통인수 묶기,인수분해,중3,M05;N03,여러 항의 공통 부분을 밖으로,여러 항에 공통으로 들어 있는 인수(수 또는 문자 또는 둘 다) 를 발견해 괄호 밖으로 빼내는 작업이 공통인수 묶기입니다. 인수분해의 가장 첫 단계이므로 어떤 식이든 먼저 공통인수가 있는지 살펴봐야 해요. 예를 들어 6x+9 는 모든 항이 3 의 배수이므로 3(2x+3) 으로 묶고 x²-3x 는 모든 항에 x 가 있어 x(x-3) 으로 묶습니다. 가장 큰 공통인수까지 한 번에 묶지 않으면 인수분해가 미완성으로 남으니 수와 문자 모두 끝까지 검토하세요.,6x+9 = 3(2x+3)   /   x²-3x = x(x-3)   /   2a²b-4ab² = 2ab(a-2b),
P05,완전제곱식 인수분해,인수분해,중3,P01,a²±2ab+b² = (a±b)²,a²+2ab+b² 는 (a+b)² 으로 a²-2ab+b² 는 (a-b)² 으로 묶이는 형태가 완전제곱식이에요. 첫 항과 끝 항이 어떤 수의 제곱이고 가운데 항이 그 두 수의 곱의 2 배인지 확인하면 적용 여부를 알 수 있습니다. x²+10x+25 는 x²+2·5·x+5² 모양이라 (x+5)² 4x²-4x+1 은 (2x-1)² 처럼 묶을 수 있어요. 가운데 항 부호로 (a+b)² 인지 (a-b)² 인지 결정된다는 점도 잊지 마세요.,x²+10x+25 = (x+5)²   /   4x²-4x+1 = (2x-1)²,
P06,합·차의 곱 형태 인수분해,인수분해,중3,P02,a²-b² = (a+b)(a-b),두 제곱수의 차 꼴 a²-b² 는 합과 차의 곱 (a+b)(a-b) 로 한 번에 분해됩니다. 예를 들어 x²-49 는 x² - 7² 이므로 (x+7)(x-7) 로 4x²-9 는 (2x)² - 3² 이라 (2x+3)(2x-3) 으로 묶여요. 식의 두 항이 모두 제곱수인지 먼저 확인하는 것이 핵심이며 두 항의 부호가 + 와 - 로 갈려 있어야 적용할 수 있습니다. 합 꼴 a²+b² 는 보통 실수 범위에서 인수분해되지 않아요.,x²-49 = (x+7)(x-7)   /   4x²-9 = (2x+3)(2x-3),
P07,이차식 인수분해 (x²+bx+c),인수분해,중3,P03;P04,곱이 c 합이 b인 두 수,x²+bx+c 꼴은 곱이 c 합이 b 인 두 수 m 과 n 을 찾으면 (x+m)(x+n) 으로 인수분해할 수 있어요. x²+5x+6 은 곱 6 합 5 인 두 수가 2 와 3 이므로 (x+2)(x+3) 이 됩니다. c 가 음수면 두 수의 부호가 반대 c 가 양수면 두 수의 부호가 같다는 점을 이용해 후보를 좁혀 가세요. x²-3x-10 처럼 곱이 음수면 큰 절댓값 쪽 부호를 b 의 부호와 맞춰 두 수를 -5 와 +2 로 정합니다.,x²+5x+6 = (x+2)(x+3) (곱 6 합 5)   /   x²-3x-10 = (x-5)(x+2),
P08,나머지정리·인수정리,인수분해,고1,M07,P(a)는 (x-a)로 나눈 나머지,다항식 P(x) 를 (x-a) 로 나눈 나머지는 P(a) 와 같다는 것이 나머지정리입니다. 그래서 직접 나누지 않고 a 를 식에 대입하기만 하면 나머지를 알 수 있어요. 만약 P(a) = 0 이라면 (x-a) 가 P(x) 의 인수이며 이를 인수정리라 부릅니다. 예를 들어 P(x) = x²-3x+2 에서 P(1) = 0 이므로 (x-1) 이 인수이고 다항식 나눗셈으로 나머지 항을 구해 P(x) = (x-1)(x-2) 처럼 인수분해할 수 있습니다.,P(x)=x²-3x+2 → P(1)=0 → (x-1)이 P(x)의 인수,
E01,등식의 성질,방정식,중1,I05,양변에 같은 수를 더해도 등식 성립,등식의 양변에 같은 수를 더하거나 빼거나 0 이 아닌 같은 수로 곱하거나 나누어도 등식은 그대로 성립합니다. 이 성질을 이용해 양변을 점점 단순하게 변형해 나가다 보면 결국 'x = 어떤 수' 의 형태로 미지수의 값을 분리할 수 있어요. 예를 들어 x+3=7 의 양변에서 3 을 빼면 x=4 가 됩니다. 0 으로 나누는 일만은 절대 허용되지 않으므로 양변을 어떤 식으로 나눌 때는 그 식이 0 이 아닌지 반드시 확인하세요.,x+3=7 → 양변에서 3을 빼면 x=4,
E02,일차방정식 풀이,방정식,중1,E01;M03,이항·정리로 x=값,일차방정식은 등식의 성질을 이용해 미지수가 있는 항은 좌변으로 상수항은 우변으로 옮기는 이항 → 동류항 정리 → 양변을 미지수 계수로 나누기의 순서로 풉니다. 이항할 때 부호가 반대로 바뀐다는 점이 핵심이에요. 3x-5=10 → 3x=15 → x=5 처럼 진행합니다. 괄호가 있다면 분배법칙으로 먼저 풀고 분모가 있다면 양변에 분모를 곱해 정수 식으로 바꾼 뒤 풀면 실수를 줄일 수 있어요.,3x-5=10 → 3x=15 → x=5   /   2(x+3)=10 → 2x=4 → x=2,
E03,이차방정식 인수분해 풀이,방정식,중3,P07;E01,(x-α)(x-β)=0 → x=α 또는 β,이차방정식을 (x-α)(x-β) = 0 처럼 두 일차식의 곱으로 인수분해할 수 있다면 두 인수 중 하나가 0 이 되어야 등식이 성립한다는 사실로부터 x = α 또는 x = β 가 해입니다. 예를 들어 x²+5x+6 = 0 → (x+2)(x+3) = 0 → x = -2 또는 x = -3 이에요. 한쪽이 0 이라는 사실에서 곧장 두 해가 나오는 것이 가장 큰 장점입니다. 한 변을 0 으로 옮긴 뒤에 인수분해해야 하며 양변을 한쪽 식으로 나누는 실수에 주의하세요.,x²+5x+6=0 → (x+2)(x+3)=0 → x=-2 또는 x=-3,
E04,근의 공식,방정식,중3-고1,P05;R03;F05;I05,x = (-b±√(b²-4ac))/2a,인수분해가 어려운 이차방정식 ax²+bx+c=0 의 해는 근의 공식 x = (-b ± √(b²-4ac)) / (2a) 로 구할 수 있어요. a b c 의 부호와 값을 그대로 대입하기만 하면 두 해가 나옵니다. 근호 안의 b²-4ac 가 음수이면 실수 범위에서 해가 없고 0 이면 두 해가 같아 한 값이 됩니다. ± 를 잊고 한 해만 적거나 분모 2a 의 a 를 빼먹는 실수가 많으니 공식을 정확히 외우는 연습이 필요해요.,x²+3x+1=0 → x=(-3±√5)/2,
E05,판별식 D=b²-4ac,방정식,고1,E04;R02,근의 개수와 형태 판별,근의 공식의 근호 안 부분 b²-4ac 를 판별식이라 하고 D 로 적습니다. D 의 부호 하나만 보면 굳이 근을 직접 구하지 않아도 해의 개수와 형태를 알 수 있어요. D > 0 이면 서로 다른 두 실근 D = 0 이면 중근(해 한 개) D < 0 이면 실근이 없습니다. 예를 들어 x²+2x+1=0 은 D=0 으로 중근 x²-3x+5=0 은 D=-11<0 으로 실근이 없습니다. 이차방정식 문제에서 '실근의 개수' 나 '실근을 가질 조건' 이 나오면 거의 항상 판별식을 사용해요.,x²+2x+1=0 → D=0 (중근)   /   x²-3x+5=0 → D=-11 < 0 (실근 없음),
E06,연립방정식,방정식,중2,E02,두 식을 동시에 만족하는 두 미지수 값,두 미지수 x y 를 동시에 만족하는 두 식을 함께 푸는 것이 연립일차방정식입니다. 풀이 전략의 핵심은 미지수의 개수를 1 개로 줄이는 것이며 두 가지 방법이 있어요. 한 식을 다른 식에 넣는 대입법 또는 두 식을 더하거나 빼서 한 변수를 없애는 가감법입니다. 예를 들어 x+y=5 와 x-y=1 을 더하면 2x=6 즉 x=3 그리고 y=2 가 나와요. 부호 정렬과 계수 맞추기를 정확히 하지 않으면 식이 어긋나니 식을 쓸 때 변수의 위치를 같게 맞추는 습관이 좋습니다.,x+y=5 그리고 x-y=1 → 2x=6 → x=3 y=2,
